DATE,CLOUDINESS,HUMIDITY,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECIPITATION
1958-12-31,0.875,0.828125,0.43070362473347545,0.6155660377358491,0.5261904761904762,0.04738562091503268
1959-01-01,0.625,0.8125,0.4115138592750533,0.5943396226415094,0.49523809523809526,0.008169934640522876
1959-01-02,0.75,0.875,0.4200426439232409,0.5330188679245284,0.45476190476190476,0.36437908496732024
1959-01-03,0.75,0.828125,0.326226012793177,0.5235849056603774,0.40714285714285714,0.0718954248366013
1959-01-04,0.625,0.796875,0.3283582089552239,0.5023584905660378,0.4,0.0457516339869281
1959-01-05,0.75,0.921875,0.3304904051172708,0.5542452830188679,0.42142857142857143,0.08006535947712418
1959-01-06,0.875,0.890625,0.34754797441364604,0.5259433962264151,0.39285714285714285,0.07026143790849673
1959-01-07,1.0,0.875,0.3816631130063966,0.5330188679245284,0.4261904761904762,0.12581699346405228
1959-01-08,0.625,0.828125,0.34968017057569295,0.5165094339622641,0.3952380952380952,0.058823529411764705
1959-01-09,0.875,0.875,0.2835820895522388,0.5,0.3738095238095238,0.08333333333333333
1959-01-10,0.625,0.90625,0.2622601279317697,0.43160377358490565,0.3333333333333333,0.05228758169934641
1959-01-11,0.75,0.796875,0.23667377398720682,0.419811320754717,0.3238095238095238,0.08823529411764706
1959-01-12,0.875,0.8125,0.2921108742004264,0.49056603773584906,0.38571428571428573,0.1781045751633987
1959-01-13,0.75,0.890625,0.2814498933901919,0.4481132075471698,0.3523809523809524,0.0
1959-01-14,1.0,0.96875,0.2537313432835821,0.47641509433962265,0.35,0.014705882352941176
1959-01-15,1.0,0.953125,0.208955223880597,0.4268867924528302,0.29285714285714287,0.006535947712418301
1959-01-16,0.5,0.921875,0.24307036247334754,0.3419811320754717,0.26904761904761904,0.004901960784313725
1959-01-17,0.875,0.8125,0.2622601279317697,0.330188679245283,0.3119047619047619,0.0016339869281045752
1959-01-18,1.0,0.890625,0.26652452025586354,0.49292452830188677,0.37142857142857144,0.12254901960784313
1959-01-19,1.0,0.640625,0.35607675906183367,0.535377358490566,0.44047619047619047,0.006535947712418301
1959-01-20,1.0,0.640625,0.4562899786780384,0.6391509433962265,0.5452380952380952,0.006535947712418301
1959-01-21,0.875,0.734375,0.417910447761194,0.6438679245283019,0.530952380952381,0.0392156862745098
1959-01-22,0.875,0.65625,0.4904051172707889,0.6839622641509434,0.5833333333333334,0.029411764705882353
1959-01-23,0.625,0.765625,0.42430703624733473,0.5518867924528302,0.45476190476190476,0.09803921568627451
1959-01-24,0.375,0.734375,0.37100213219616207,0.5400943396226415,0.42857142857142855,0.0032679738562091504
1959-01-25,0.625,0.875,0.34968017057569295,0.4882075471698113,0.3880952380952381,0.004901960784313725
1959-01-26,0.375,0.875,0.373134328358209,0.4339622641509434,0.3547619047619048,0.0016339869281045752
1959-01-27,0.25,0.875,0.34541577825159914,0.4363207547169811,0.34523809523809523,0.0
1959-01-28,0.0,0.828125,0.39232409381663114,0.41745283018867924,0.36666666666666664,0.0032679738562091504
1959-01-29,0.125,0.921875,0.35607675906183367,0.4033018867924528,0.3261904761904762,0.0016339869281045752
